2020년 5월 관광객입도현황,,,,,,
□ 형태별,,,,,,(단위 : 명)
구                  분,,,, 2020년 ,2019년,증감율(%)
총                  계,,,월계,"768,102","1,323,866",-42
,,,누계,"3,669,972","6,028,386",-39.1
내국인,소              계,,월계,"765,616","1,176,059",-34.9
,,,누계,"3,487,904","5,395,968",-35.4
,개 별 여 행,,월계,"750,271","884,364",-15.2
,,,누계,"3,361,193","4,252,319",-21
,부분패키지,,월계,"13,458","146,160",-90.8
,,,누계,"97,062","762,877",-87.3
,패  키  지,,월계,"1,887","145,535",-98.7
,,,누계,"29,649","380,772",-92.2
외       국       인,,,월계,"2,486","147,807",-98.3
,,,누계,"182,068","632,418",-71.2
,,,,,,
□ 목적별,,,,,,(단위 : 명)
구                  분,,,, 2020년 , 2019년 ,증감율(%)
총                  계,,,월계,"768,102","1,323,866",-42
,,,누계,"3,669,972","6,028,386",-39.1
내   국   인,소              계,,월계,"765,616","1,176,059",-34.9
,,,누계,"3,487,904","5,395,968",-35.4
,레 저 스 포 츠,,월계,"57,543","129,034",-55.4
,,,누계,"264,149","720,383",-63.3
,회 의 및 업 무,,월계,"57,824","50,526",14.4
,,,누계,"283,113","320,328",-11.6
,휴 양 및 관 람,,월계,"584,612","874,526",-33.2
,,,누계,"2,522,007","3,916,088",-35.6
,친  지  방  문,,월계,"55,751","30,678",81.7
,,,누계,"355,987","248,365",43.3
,교  육  여  행,,월계,120,"83,508",-99.9
,,,누계,264,"150,213",-99.8
,기  타  방  문,,월계,"9,766","7,787",25.4
,,,누계,"62,384","40,591",53.7
외    국    인,소              계,,월계,"2,486","147,807",-98.3
,,,누계,"182,068","632,418",-71.2
,아시아,일          본,월계,30,"9,658",-99.7
,,,누계,"7,310","31,892",-77.1
,,중          국,월계,431,"84,333",-99.5
,,,누계,"99,425","361,525",-72.5
,,홍          콩,월계,40,"5,557",-99.3
,,,누계,"9,950","20,395",-51.2
,,대          만,월계,47,"9,695",-99.5
,,,누계,"9,894","37,667",-73.7
,,싱    가    폴,월계,75,"2,576",-97.1
,,,누계,"2,337","10,361",-77.4
,,말 레 이 시 아,월계,108,"6,037",-98.2
,,,누계,"9,012","27,599",-67.3
,,인 도 네 시 아,월계,115,"1,838",-93.7
,,,누계,"3,967","10,014",-60.4
,,베    트    남,월계,95,"2,169",-95.6
,,,누계,"3,911","12,871",-69.6
,,태         국,월계,93,"5,685",-98.4
,,,누계,"10,473","25,395",-58.8
,,기          타,월계,318,"4,288",-92.6
,,,누계,"6,501","22,450",-71
,서구등,미          국,월계,273,"4,337",-93.7
,,,누계,"4,794","18,902",-74.6
,,기          타,월계,861,"11,634",-92.6
,,,누계,"14,494","53,347",-72.8
