2020. 2. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
대륙,국적,2월,,,,1~2월,,,,,,
,,2020,2019,성장률,구성비,2020,2019,성장률,구성비,,,
전체 방한 외래관광객 수,,"685,212","1,201,802",-43.0 ,100.0 ,"1,957,920 ","2,306,605 ",-15.1 ,100.0 ,,,
전체 국민 해외관광객 수,,"1,046,779","2,617,946",-60.0 ,100.0 ,"3,559,809 ","5,530,277 ",-35.6 ,100.0 ,,,
아시아주,중국,"104,086 ","453,379 ",-77.0 ,15.2 ,"585,767 ","846,193 ",-30.8 ,29.9 ,,,
,일본,"211,199 ","213,200 ",-0.9 ,30.8 ,"415,168 ","419,726 ",-1.1 ,21.2 ,,,
,대만,"53,042 ","94,559 ",-43.9 ,7.7 ,"163,396 ","182,513 ",-10.5 ,8.3 ,,,
,홍콩,"20,966 ","51,312 ",-59.1 ,3.1 ,"87,928 ","87,208 ",0.8 ,4.5 ,,,
,마카오,503 ,"3,966 ",-87.3 ,0.1 ,"5,850 ","6,536 ",-10.5 ,0.3 ,,,
,필리핀,"20,332 ","29,294 ",-30.6 ,3.0 ,"51,034 ","59,767 ",-14.6 ,2.6 ,,,
,인도네시아,"15,800 ","18,115 ",-12.8 ,2.3 ,"35,243 ","36,957 ",-4.6 ,1.8 ,,,
,태국,"31,777 ","39,220 ",-19.0 ,4.6 ,"70,243 ","80,554 ",-12.8 ,3.6 ,,,
,베트남,"30,313 ","42,181 ",-28.1 ,4.4 ,"60,545 ","62,364 ",-2.9 ,3.1 ,,,
,인도,"5,839 ","8,309 ",-29.7 ,0.9 ,"15,088 ","16,980 ",-11.1 ,0.8 ,,,
,말레이시아,"18,541 ","27,484 ",-32.5 ,2.7 ,"46,090 ","49,549 ",-7.0 ,2.4 ,,,
,싱가포르,"5,909 ","9,792 ",-39.7 ,0.9 ,"16,647 ","19,647 ",-15.3 ,0.9 ,,,
,몽골,"6,399 ","9,176 ",-30.3 ,0.9 ,"18,722 ","18,961 ",-1.3 ,1.0 ,,,
,우즈베키스탄,"6,888 ","7,149 ",-3.7 ,1.0 ,"13,023 ","12,903 ",0.9 ,0.7 ,,,
,미얀마,"4,319 ","5,367 ",-19.5 ,0.6 ,"9,973 ","10,656 ",-6.4 ,0.5 ,,,
,GCC,789 ,"1,478 ",-46.6 ,0.1 ,"2,947 ","3,254 ",-9.4 ,0.2 ,,,
,카자흐스탄,"3,204 ","3,774 ",-15.1 ,0.5 ,"7,529 ","7,348 ",2.5 ,0.4 ,,,
,터키,"1,784 ","1,765 ",1.1 ,0.3 ,"3,992 ","3,550 ",12.5 ,0.2 ,,,
,캄보디아,"2,568 ","3,715 ",-30.9 ,0.4 ,"6,825 ","6,410 ",6.5 ,0.3 ,,,
,스리랑카,"1,088 ","1,516 ",-28.2 ,0.2 ,"2,465 ","2,803 ",-12.1 ,0.1 ,,,
,방글라데시,996 ,"1,656 ",-39.9 ,0.1 ,"2,295 ","2,903 ",-20.9 ,0.1 ,,,
,파키스탄,"1,037 ","1,439 ",-27.9 ,0.2 ,"2,051 ","2,471 ",-17.0 ,0.1 ,,,
,이스라엘,352 ,761 ,-53.7 ,0.1 ,"1,155 ","1,566 ",-26.2 ,0.1 ,,,
,이란,160 ,329 ,-51.4 ,0.0 ,336 ,513 ,-34.5 ,0.0 ,,,
,아시아 기타,"4,558 ","5,150 ",-11.5 ,0.7 ,"9,366 ","9,704 ",-3.5 ,0.5 ,,,
,아시아주소계,"552,449","1,034,086",-46.6 ,80.6 ,"1,633,678 ","1,951,036 ",-16.3 ,83.4 ,,,
미주,미국,"42,439 ","57,732 ",-26.5 ,6.2 ,"109,694 ","120,469 ",-8.9 ,5.6 ,,,
,캐나다,"9,046 ","13,551 ",-33.2 ,1.3 ,"22,855 ","26,011 ",-12.1 ,1.2 ,,,
,브라질,"1,188 ","1,354 ",-12.3 ,0.2 ,"2,989 ","2,959 ",1.0 ,0.2 ,,,
,멕시코,"1,543 ","1,435 ",7.5 ,0.2 ,"3,656 ","3,288 ",11.2 ,0.2 ,,,
,미주 기타,"2,601 ","2,308 ",12.7 ,0.4 ,"5,115 ","4,574 ",11.8 ,0.3 ,,,
,미주소계,"56,817","76,380",-25.6 ,8.3 ,"144,309 ","157,301 ",-8.3 ,7.4 ,,,
구주,러시아,"22,157 ","20,001 ",10.8 ,3.2 ,"51,048 ","45,195 ",13.0 ,2.6 ,,,
,영국,"5,566 ","7,876 ",-29.3 ,0.8 ,"14,683 ","18,024 ",-18.5 ,0.7 ,,,
